seed,severity,detector,delay,pre_fpr,arl0
42,mild,entropy_weighted,700,0.03333333333333333,0
42,mild,uniform,700,0.03333333333333333,0
42,mild,adwin,700,0.0,300
42,mild,cusum,31,0.03333333333333333,101
42,mild,page_hinkley,700,0.0,300
43,mild,entropy_weighted,700,0.03333333333333333,0
43,mild,uniform,700,0.03333333333333333,0
43,mild,adwin,700,0.0,300
43,mild,cusum,3,0.02666666666666667,112
43,mild,page_hinkley,700,0.0,300
44,mild,entropy_weighted,700,0.03333333333333333,0
44,mild,uniform,700,0.03333333333333333,0
44,mild,adwin,700,0.0,300
44,mild,cusum,13,0.03333333333333333,104
44,mild,page_hinkley,700,0.0,300
45,mild,entropy_weighted,700,0.03333333333333333,0
45,mild,uniform,700,0.03333333333333333,0
45,mild,adwin,700,0.0,300
45,mild,cusum,7,0.02666666666666667,100
45,mild,page_hinkley,700,0.0,300
46,mild,entropy_weighted,700,0.03333333333333333,0
46,mild,uniform,700,0.03333333333333333,0
46,mild,adwin,700,0.0,300
46,mild,cusum,1,0.023333333333333334,116
46,mild,page_hinkley,700,0.0,300
47,mild,entropy_weighted,700,0.03333333333333333,0
47,mild,uniform,700,0.03333333333333333,0
47,mild,adwin,700,0.0,300
47,mild,cusum,4,0.03,109
47,mild,page_hinkley,700,0.0,300
48,mild,entropy_weighted,700,0.03333333333333333,0
48,mild,uniform,700,0.03333333333333333,0
48,mild,adwin,700,0.0,300
48,mild,cusum,30,0.03333333333333333,103
48,mild,page_hinkley,700,0.0,300
49,mild,entropy_weighted,700,0.03333333333333333,0
49,mild,uniform,700,0.03333333333333333,0
49,mild,adwin,700,0.0,300
49,mild,cusum,0,0.03,104
49,mild,page_hinkley,700,0.0,300
50,mild,entropy_weighted,700,0.03333333333333333,0
50,mild,uniform,700,0.03333333333333333,0
50,mild,adwin,700,0.0,300
50,mild,cusum,15,0.03333333333333333,102
50,mild,page_hinkley,700,0.0,300
51,mild,entropy_weighted,700,0.03333333333333333,0
51,mild,uniform,700,0.03333333333333333,0
51,mild,adwin,700,0.0,300
51,mild,cusum,40,0.03666666666666667,101
51,mild,page_hinkley,700,0.0,300
52,mild,entropy_weighted,700,0.03333333333333333,0
52,mild,uniform,700,0.03333333333333333,0
52,mild,adwin,700,0.0,300
52,mild,cusum,20,0.03333333333333333,96
52,mild,page_hinkley,700,0.0,300
53,mild,entropy_weighted,700,0.03333333333333333,0
53,mild,uniform,700,0.03333333333333333,0
53,mild,adwin,700,0.0,300
53,mild,cusum,8,0.03666666666666667,97
53,mild,page_hinkley,700,0.0,300
54,mild,entropy_weighted,700,0.03333333333333333,0
54,mild,uniform,700,0.03333333333333333,0
54,mild,adwin,700,0.0,300
54,mild,cusum,1,0.03,104
54,mild,page_hinkley,700,0.0,300
55,mild,entropy_weighted,700,0.03333333333333333,0
55,mild,uniform,700,0.03333333333333333,0
55,mild,adwin,700,0.0,300
55,mild,cusum,57,0.023333333333333334,121
55,mild,page_hinkley,700,0.0,300
56,mild,entropy_weighted,700,0.03333333333333333,0
56,mild,uniform,700,0.03333333333333333,0
56,mild,adwin,700,0.0,300
56,mild,cusum,11,0.023333333333333334,111
56,mild,page_hinkley,700,0.0,300
57,mild,entropy_weighted,700,0.03333333333333333,0
57,mild,uniform,700,0.03333333333333333,0
57,mild,adwin,700,0.0,300
57,mild,cusum,0,0.04,99
57,mild,page_hinkley,700,0.0,300
58,mild,entropy_weighted,700,0.03333333333333333,0
58,mild,uniform,700,0.03333333333333333,0
58,mild,adwin,700,0.0,300
58,mild,cusum,6,0.03333333333333333,104
58,mild,page_hinkley,700,0.0,300
59,mild,entropy_weighted,700,0.03333333333333333,0
59,mild,uniform,700,0.03333333333333333,0
59,mild,adwin,700,0.0,300
59,mild,cusum,0,0.02666666666666667,120
59,mild,page_hinkley,700,0.0,300
60,mild,entropy_weighted,700,0.03333333333333333,0
60,mild,uniform,700,0.03333333333333333,0
60,mild,adwin,700,0.0,300
60,mild,cusum,14,0.02666666666666667,104
60,mild,page_hinkley,700,0.0,300
61,mild,entropy_weighted,700,0.03333333333333333,0
61,mild,uniform,700,0.03333333333333333,0
61,mild,adwin,700,0.0,300
61,mild,cusum,36,0.03666666666666667,104
61,mild,page_hinkley,700,0.0,300
62,mild,entropy_weighted,700,0.03333333333333333,0
62,mild,uniform,700,0.03333333333333333,0
62,mild,adwin,700,0.0,300
62,mild,cusum,3,0.02666666666666667,120
62,mild,page_hinkley,700,0.0,300
63,mild,entropy_weighted,700,0.03333333333333333,0
63,mild,uniform,700,0.03333333333333333,0
63,mild,adwin,700,0.0,300
63,mild,cusum,7,0.03,109
63,mild,page_hinkley,700,0.0,300
64,mild,entropy_weighted,700,0.03333333333333333,0
64,mild,uniform,700,0.03333333333333333,0
64,mild,adwin,700,0.0,300
64,mild,cusum,4,0.03,109
64,mild,page_hinkley,700,0.0,300
65,mild,entropy_weighted,700,0.03333333333333333,0
65,mild,uniform,700,0.03333333333333333,0
65,mild,adwin,700,0.0,300
65,mild,cusum,7,0.03333333333333333,101
65,mild,page_hinkley,700,0.0,300
66,mild,entropy_weighted,700,0.03333333333333333,0
66,mild,uniform,700,0.03333333333333333,0
66,mild,adwin,700,0.0,300
66,mild,cusum,4,0.03333333333333333,101
66,mild,page_hinkley,700,0.0,300
67,mild,entropy_weighted,700,0.03333333333333333,0
67,mild,uniform,700,0.03333333333333333,0
67,mild,adwin,700,0.0,300
67,mild,cusum,14,0.03333333333333333,102
67,mild,page_hinkley,700,0.0,300
68,mild,entropy_weighted,700,0.03333333333333333,0
68,mild,uniform,700,0.03333333333333333,0
68,mild,adwin,700,0.0,300
68,mild,cusum,0,0.03,101
68,mild,page_hinkley,700,0.0,300
69,mild,entropy_weighted,700,0.03333333333333333,0
69,mild,uniform,700,0.03333333333333333,0
69,mild,adwin,700,0.0,300
69,mild,cusum,31,0.04,87
69,mild,page_hinkley,700,0.0,300
70,mild,entropy_weighted,700,0.03333333333333333,0
70,mild,uniform,700,0.03333333333333333,0
70,mild,adwin,700,0.0,300
70,mild,cusum,5,0.03333333333333333,90
70,mild,page_hinkley,700,0.0,300
71,mild,entropy_weighted,700,0.03333333333333333,0
71,mild,uniform,700,0.03333333333333333,0
71,mild,adwin,700,0.0,300
71,mild,cusum,0,0.023333333333333334,105
71,mild,page_hinkley,700,0.0,300
72,mild,entropy_weighted,700,0.03333333333333333,0
72,mild,uniform,700,0.03333333333333333,0
72,mild,adwin,700,0.0,300
72,mild,cusum,15,0.02666666666666667,106
72,mild,page_hinkley,700,0.0,300
73,mild,entropy_weighted,65,0.03333333333333333,0
73,mild,uniform,700,0.03333333333333333,0
73,mild,adwin,700,0.0,300
73,mild,cusum,3,0.02666666666666667,110
73,mild,page_hinkley,700,0.0,300
74,mild,entropy_weighted,700,0.03333333333333333,0
74,mild,uniform,700,0.03333333333333333,0
74,mild,adwin,700,0.0,300
74,mild,cusum,24,0.03,117
74,mild,page_hinkley,700,0.0,300
75,mild,entropy_weighted,700,0.03333333333333333,0
75,mild,uniform,700,0.03333333333333333,0
75,mild,adwin,700,0.0,300
75,mild,cusum,34,0.03333333333333333,112
75,mild,page_hinkley,700,0.0,300
76,mild,entropy_weighted,700,0.03333333333333333,0
76,mild,uniform,700,0.03333333333333333,0
76,mild,adwin,700,0.0,300
76,mild,cusum,11,0.03333333333333333,99
76,mild,page_hinkley,700,0.0,300
77,mild,entropy_weighted,700,0.03333333333333333,0
77,mild,uniform,700,0.03333333333333333,0
77,mild,adwin,700,0.0,300
77,mild,cusum,12,0.02666666666666667,122
77,mild,page_hinkley,700,0.0,300
78,mild,entropy_weighted,700,0.03333333333333333,0
78,mild,uniform,700,0.03333333333333333,0
78,mild,adwin,700,0.0,300
78,mild,cusum,29,0.043333333333333335,96
78,mild,page_hinkley,700,0.0,300
79,mild,entropy_weighted,700,0.03333333333333333,0
79,mild,uniform,700,0.03333333333333333,0
79,mild,adwin,700,0.0,300
79,mild,cusum,13,0.03,103
79,mild,page_hinkley,700,0.0,300
80,mild,entropy_weighted,700,0.03333333333333333,0
80,mild,uniform,700,0.03333333333333333,0
80,mild,adwin,700,0.0,300
80,mild,cusum,1,0.03,94
80,mild,page_hinkley,700,0.0,300
81,mild,entropy_weighted,700,0.03333333333333333,0
81,mild,uniform,700,0.03333333333333333,0
81,mild,adwin,700,0.0,300
81,mild,cusum,9,0.03666666666666667,90
81,mild,page_hinkley,700,0.0,300
42,moderate,entropy_weighted,700,0.03333333333333333,0
42,moderate,uniform,700,0.03333333333333333,0
42,moderate,adwin,700,0.0,300
42,moderate,cusum,31,0.03333333333333333,101
42,moderate,page_hinkley,700,0.0,300
43,moderate,entropy_weighted,700,0.03333333333333333,0
43,moderate,uniform,700,0.03333333333333333,0
43,moderate,adwin,700,0.0,300
43,moderate,cusum,3,0.02666666666666667,112
43,moderate,page_hinkley,700,0.0,300
44,moderate,entropy_weighted,700,0.03333333333333333,0
44,moderate,uniform,700,0.03333333333333333,0
44,moderate,adwin,700,0.0,300
44,moderate,cusum,13,0.03333333333333333,104
44,moderate,page_hinkley,700,0.0,300
45,moderate,entropy_weighted,700,0.03333333333333333,0
45,moderate,uniform,700,0.03333333333333333,0
45,moderate,adwin,700,0.0,300
