refuter,ate_orig,ate_refuted,delta_ratio,passed,seed,scenario,type,tau_true,gamma,is_fragile
random_common_cause,0.10615625710773335,0.09355715885860227,0.11868446187156735,1,42,0,fragile_strong,0.0,0.5,1
placebo_treatment,0.10615625710773335,0.5585816608891977,5.261881646056129,0,42,0,fragile_strong,0.0,0.5,1
data_subset,0.10615625710773335,-0.24544587614465824,2.9916668427695434,0,42,0,fragile_strong,0.0,0.5,1
random_common_cause,0.9199962825619336,0.8180948910043953,0.11076282968641057,1,42,1,reliable_weak,0.5,0.0,0
placebo_treatment,0.9199962825619336,0.12632351011242487,0.1373087179881304,1,42,1,reliable_weak,0.5,0.0,0
data_subset,0.9199962825619336,0.9220265134624868,0.1420116824833087,1,42,1,reliable_weak,0.5,0.0,0
random_common_cause,0.7134321821673332,0.7957849667772073,0.11543183314172192,1,42,2,reliable_strong,1.0,0.0,0
placebo_treatment,0.7134321821673332,-0.38791301267944067,0.5437279427190977,0,42,2,reliable_strong,1.0,0.0,0
data_subset,0.7134321821673332,0.704813291313194,0.23334152172246225,1,42,2,reliable_strong,1.0,0.0,0
random_common_cause,0.2746508728634277,0.12978472422236292,0.527455628051474,0,42,3,fragile_strong,0.0,0.5,1
placebo_treatment,0.2746508728634277,-0.45610863475711083,1.6606851818887698,0,42,3,fragile_strong,0.0,0.5,1
data_subset,0.2746508728634277,0.405916856115679,1.7653636987359105,0,42,3,fragile_strong,0.0,0.5,1
random_common_cause,1.011751425407231,1.0679992930734654,0.05559455243030127,1,42,4,fragile_mild,0.0,0.3,1
placebo_treatment,1.011751425407231,0.5578937794344335,0.5514138803509772,0,42,4,fragile_mild,0.0,0.3,1
data_subset,1.011751425407231,0.9807038593055625,0.5338673778667945,0,42,4,fragile_mild,0.0,0.3,1
random_common_cause,0.5267297046838121,0.5593042548508667,0.061843009569032346,1,42,5,reliable_weak,0.5,0.0,0
placebo_treatment,0.5267297046838121,-0.388871691866816,0.7382756058921147,0,42,5,reliable_weak,0.5,0.0,0
data_subset,0.5267297046838121,0.37324656294748687,0.2903504208368937,1,42,5,reliable_weak,0.5,0.0,0
random_common_cause,0.24678641124433065,0.2540703007251268,0.029514953615435335,1,42,6,fragile_mild,0.0,0.3,1
placebo_treatment,0.24678641124433065,0.6533021085255696,2.6472369577868227,0,42,6,fragile_mild,0.0,0.3,1
data_subset,0.24678641124433065,0.42810795514318467,0.6896448084988871,0,42,6,fragile_mild,0.0,0.3,1
random_common_cause,-0.18441451767087563,-0.1348326476557345,0.2688609912134458,0,42,7,fragile_mild,0.0,0.3,1
placebo_treatment,-0.18441451767087563,0.8148990921684789,4.418844581546602,0,42,7,fragile_mild,0.0,0.3,1
data_subset,-0.18441451767087563,-0.2998378249169769,2.0509966736889096,0,42,7,fragile_mild,0.0,0.3,1
random_common_cause,1.0489668734368993,0.9562778095987131,0.08836224115876422,1,42,8,fragile_strong,0.0,0.5,1
placebo_treatment,1.0489668734368993,-0.3507357943945879,0.334363079784794,1,42,8,fragile_strong,0.0,0.5,1
data_subset,1.0489668734368993,1.0310412327629934,0.45607886231360917,1,42,8,fragile_strong,0.0,0.5,1
random_common_cause,-0.2633194965837613,-0.21981650114696277,0.16520992938690482,0,42,9,fragile_strong,0.0,0.5,1
placebo_treatment,-0.2633194965837613,1.0581196196050635,4.018386915260102,0,42,9,fragile_strong,0.0,0.5,1
data_subset,-0.2633194965837613,-0.2121206376822681,3.038092172589092,0,42,9,fragile_strong,0.0,0.5,1
random_common_cause,0.903938417672271,0.9116523113333974,0.008533649538859546,1,42,10,reliable_strong,1.0,0.0,0
placebo_treatment,0.903938417672271,0.027118537566071688,0.030000425953688913,1,42,10,reliable_strong,1.0,0.0,0
data_subset,0.903938417672271,0.8514989591952575,0.1549715233990215,1,42,10,reliable_strong,1.0,0.0,0
random_common_cause,0.3460409039346906,0.3624755071621783,0.047493238633399944,1,42,11,fragile_mild,0.0,0.3,1
placebo_treatment,0.3460409039346906,-0.40027249043326274,1.156720161928624,0,42,11,fragile_mild,0.0,0.3,1
data_subset,0.3460409039346906,0.4941583973519267,0.4532218057670226,1,42,11,fragile_mild,0.0,0.3,1
random_common_cause,-0.7914106900351535,-0.7982152531045003,0.008598017634869812,1,42,12,fragile_mild,0.0,0.3,1
placebo_treatment,-0.7914106900351535,0.5734460165147144,0.724587150180196,0,42,12,fragile_mild,0.0,0.3,1
data_subset,-0.7914106900351535,-0.3355000621548692,1.0663947658895716,0,42,12,fragile_mild,0.0,0.3,1
random_common_cause,1.2214432892480442,1.3176291815499657,0.07874773487120817,1,42,13,fragile_mild,0.0,0.3,1
placebo_treatment,1.2214432892480442,0.6324555443592479,0.5177936216331466,0,42,13,fragile_mild,0.0,0.3,1
data_subset,1.2214432892480442,1.2502677941828406,0.3863989415740062,1,42,13,fragile_mild,0.0,0.3,1
random_common_cause,0.05937271025836466,0.005043901552799102,0.9150468029697449,0,42,14,reliable_weak,0.5,0.0,0
placebo_treatment,0.05937271025836466,-0.5626086584994725,9.475879676896003,0,42,14,reliable_weak,0.5,0.0,0
data_subset,0.05937271025836466,0.07738677282826664,2.76734241915366,0,42,14,reliable_weak,0.5,0.0,0
random_common_cause,1.1821607384135944,1.1719402951081812,0.008645561448038385,1,42,15,fragile_strong,0.0,0.5,1
placebo_treatment,1.1821607384135944,-0.36257056041005997,0.3067015750299854,1,42,15,fragile_strong,0.0,0.5,1
data_subset,1.1821607384135944,1.2317788652444752,0.392097959529989,1,42,15,fragile_strong,0.0,0.5,1
random_common_cause,0.16078340898104415,0.165614194985514,0.030045301533812976,1,42,16,reliable_weak,0.5,0.0,0
placebo_treatment,0.16078340898104415,-0.3522754876328904,2.190994020250078,0,42,16,reliable_weak,0.5,0.0,0
data_subset,0.16078340898104415,0.14347578155864849,1.2566875808628433,0,42,16,reliable_weak,0.5,0.0,0
random_common_cause,0.36408993479124396,0.3635472777275796,0.0014904478586465003,1,42,17,fragile_mild,0.0,0.3,1
placebo_treatment,0.36408993479124396,0.3788095822243712,1.0404286030086687,0,42,17,fragile_mild,0.0,0.3,1
data_subset,0.36408993479124396,0.2799568522175434,0.9333132061921587,0,42,17,fragile_mild,0.0,0.3,1
random_common_cause,-1.9882987685275664,-1.9767219813333408,0.005822458564815587,1,42,18,fragile_mild,0.0,0.3,1
placebo_treatment,-1.9882987685275664,1.2894707221035966,0.6485296588794417,0,42,18,fragile_mild,0.0,0.3,1
data_subset,-1.9882987685275664,-1.4209467711622137,0.46011759138475433,1,42,18,fragile_mild,0.0,0.3,1
random_common_cause,0.5782590250786389,0.6085756234631388,0.05242736744208535,1,42,19,reliable_strong,1.0,0.0,0
placebo_treatment,0.5782590250786389,-0.10822738074122912,0.18716072909802142,1,42,19,reliable_strong,1.0,0.0,0
data_subset,0.5782590250786389,0.3887743453486875,0.32206311221711637,1,42,19,reliable_strong,1.0,0.0,0
random_common_cause,-0.12099696672329796,-0.10894795256324596,0.09958112576165894,1,42,20,fragile_mild,0.0,0.3,1
placebo_treatment,-0.12099696672329796,-0.999966189095987,8.264390556027415,0,42,20,fragile_mild,0.0,0.3,1
data_subset,-0.12099696672329796,-0.14406128363697332,2.2345787102675536,0,42,20,fragile_mild,0.0,0.3,1
random_common_cause,1.1166749970089462,1.1066526121862237,0.008975203035411258,1,42,21,reliable_strong,1.0,0.0,0
placebo_treatment,1.1166749970089462,0.5328081137033643,0.47713803490765877,1,42,21,reliable_strong,1.0,0.0,0
data_subset,1.1166749970089462,1.0021857778680905,0.17830352059995602,1,42,21,reliable_strong,1.0,0.0,0
random_common_cause,0.7894637168920428,0.7764514412602918,0.016482423895271173,1,42,22,reliable_strong,1.0,0.0,0
placebo_treatment,0.7894637168920428,0.01401687765575746,0.01775493585815323,1,42,22,reliable_strong,1.0,0.0,0
data_subset,0.7894637168920428,0.6868090889472589,0.15400409583441815,1,42,22,reliable_strong,1.0,0.0,0
random_common_cause,0.44422457209741334,0.46545721689081715,0.04779709661974245,1,42,23,reliable_weak,0.5,0.0,0
placebo_treatment,0.44422457209741334,-0.20496799163033497,0.46140624473467406,1,42,23,reliable_weak,0.5,0.0,0
data_subset,0.44422457209741334,0.3927462875725333,0.24901500943513843,1,42,23,reliable_weak,0.5,0.0,0
random_common_cause,0.603167878233278,0.5825717368940052,0.03414661503460755,1,42,24,fragile_strong,0.0,0.5,1
placebo_treatment,0.603167878233278,-0.10909857871220648,0.18087597607446212,1,42,24,fragile_strong,0.0,0.5,1
data_subset,0.603167878233278,0.6334812926584392,0.6211142302304619,0,42,24,fragile_strong,0.0,0.5,1
random_common_cause,0.8453082707256979,0.8482947037411809,0.003532951372780374,1,42,25,reliable_strong,1.0,0.0,0
placebo_treatment,0.8453082707256979,0.19411257459655604,0.22963524825080703,1,42,25,reliable_strong,1.0,0.0,0
data_subset,0.8453082707256979,0.7830180538894169,0.12661790865351155,1,42,25,reliable_strong,1.0,0.0,0
random_common_cause,0.5792584595225744,0.5982243348402518,0.032741645816116625,1,42,26,reliable_weak,0.5,0.0,0
placebo_treatment,0.5792584595225744,-0.1572535547206596,0.27147390277263833,1,42,26,reliable_weak,0.5,0.0,0
data_subset,0.5792584595225744,0.6683154106269349,0.1757836931795137,1,42,26,reliable_weak,0.5,0.0,0
random_common_cause,1.0315671757015428,0.9266647192902269,0.10169231716778347,1,42,27,reliable_strong,1.0,0.0,0
placebo_treatment,1.0315671757015428,0.6558594038355214,0.6357893303356498,0,42,27,reliable_strong,1.0,0.0,0
data_subset,1.0315671757015428,1.0149588831810026,0.08942340643545589,1,42,27,reliable_strong,1.0,0.0,0
random_common_cause,1.0234825297983692,1.0181180520649693,0.00524139648427287,1,42,28,reliable_weak,0.5,0.0,0
placebo_treatment,1.0234825297983692,-0.27574420529428567,0.26941759850909086,1,42,28,reliable_weak,0.5,0.0,0
data_subset,1.0234825297983692,0.9605902809567398,0.14838240912757952,1,42,28,reliable_weak,0.5,0.0,0
random_common_cause,-0.8858948576872303,-0.8517022425905982,0.038596696662059136,1,42,29,fragile_mild,0.0,0.3,1
placebo_treatment,-0.8858948576872303,0.6031207132540303,0.6808039441933019,0,42,29,fragile_mild,0.0,0.3,1
data_subset,-0.8858948576872303,-0.5793454511301024,0.7861792321755485,0,42,29,fragile_mild,0.0,0.3,1
random_common_cause,-0.044017621880656596,-0.12447832112677795,1.8279201785201293,0,42,30,fragile_mild,0.0,0.3,1
placebo_treatment,-0.044017621880656596,-0.0507262118730421,1.1524069158159944,0,42,30,fragile_mild,0.0,0.3,1
data_subset,-0.044017621880656596,0.17011383754660195,2.4984947344824353,0,42,30,fragile_mild,0.0,0.3,1
random_common_cause,0.6274342897359216,0.711697196350043,0.13429757983036994,1,42,31,reliable_strong,1.0,0.0,0
placebo_treatment,0.6274342897359216,0.18517058592649413,0.29512347182113663,1,42,31,reliable_strong,1.0,0.0,0
data_subset,0.6274342897359216,0.5030442071240523,0.4253623612632773,1,42,31,reliable_strong,1.0,0.0,0
random_common_cause,0.9326566245552158,0.9412512934712222,0.009215255314468124,1,42,32,reliable_strong,1.0,0.0,0
placebo_treatment,0.9326566245552158,1.0433075585027787,1.118640591868773,0,42,32,reliable_strong,1.0,0.0,0
data_subset,0.9326566245552158,0.9832615450929417,0.1155517856214761,1,42,32,reliable_strong,1.0,0.0,0
random_common_cause,-0.2802821334595494,-0.38050271744675646,0.3575703622281404,0,42,33,fragile_strong,0.0,0.5,1
placebo_treatment,-0.2802821334595494,1.2048139238136026,4.298575542231209,0,42,33,fragile_strong,0.0,0.5,1
data_subset,-0.2802821334595494,-0.3106793351114104,1.7918226746256218,0,42,33,fragile_strong,0.0,0.5,1
random_common_cause,0.516035965016646,0.5113758720769692,0.009030558440876127,1,42,34,reliable_weak,0.5,0.0,0
placebo_treatment,0.516035965016646,0.4885879237353423,0.9468098288838875,0,42,34,reliable_weak,0.5,0.0,0
data_subset,0.516035965016646,0.4767558573885385,0.2505788815280783,1,42,34,reliable_weak,0.5,0.0,0
random_common_cause,1.2505107031072078,1.2567177721266976,0.004963627263698528,1,42,35,reliable_strong,1.0,0.0,0
placebo_treatment,1.2505107031072078,0.25048987351674085,0.2003100596375032,1,42,35,reliable_strong,1.0,0.0,0
data_subset,1.2505107031072078,1.2387478682149644,0.07882966269495012,1,42,35,reliable_strong,1.0,0.0,0
random_common_cause,0.5317064210327951,0.5175569659588075,0.026611405306152674,1,42,36,fragile_strong,0.0,0.5,1
placebo_treatment,0.5317064210327951,1.8891393652287993,3.552974518455701,0,42,36,fragile_strong,0.0,0.5,1
data_subset,0.5317064210327951,0.38810012010857875,1.149470109304553,0,42,36,fragile_strong,0.0,0.5,1
random_common_cause,-1.0524660484413457,-0.9724852512449796,0.07599370764958546,1,42,37,fragile_strong,0.0,0.5,1
placebo_treatment,-1.0524660484413457,0.3420634841659675,0.32501141929713356,1,42,37,fragile_strong,0.0,0.5,1
data_subset,-1.0524660484413457,-1.1555585387575602,0.5648875986187468,0,42,37,fragile_strong,0.0,0.5,1
random_common_cause,-0.6287617313339856,-0.6329254212715489,0.006622047319466493,1,42,38,fragile_mild,0.0,0.3,1
placebo_treatment,-0.6287617313339856,0.7409348100685093,1.1784031583737395,0,42,38,fragile_mild,0.0,0.3,1
data_subset,-0.6287617313339856,-1.0802111504272203,0.5063244633772996,0,42,38,fragile_mild,0.0,0.3,1
