h_rate,variant,final_V,final_V_std,cum_V,viol,viol_std,max_V,converged,conv_step
0.0,beta_high,8.9224,39.3415,3.8825,0.3117,0.0103,288.3892,0.95,36.35
0.0,beta_low,0.7381,1.6159,0.8817,0.4564,0.0111,24.7351,0.85,12.9
0.0,full,1.8783,8.1881,2.0992,0.3447,0.0078,69.9663,0.95,25.25
0.0,no_ceiling,1.4319,6.181,2.2703,0.3305,0.0102,81.4563,0.95,25.45
0.0,no_ema,0.5256,0.0993,0.6048,0.4984,0.0059,24.3946,0.95,681.4
0.0,no_floor,0.9025,3.8369,2.1014,0.3453,0.0082,70.2883,0.95,25.25
0.1,beta_high,4.3589,17.3081,4.092,0.17,0.014,230.7632,0.9,40.5
0.1,beta_low,1.2802,2.0023,1.6784,0.3054,0.0153,27.4406,0.85,18.55
0.1,full,2.2467,6.776,2.783,0.2073,0.0145,88.34,0.95,31.0
0.1,no_ceiling,4.4203,15.6269,2.9176,0.203,0.0157,102.4964,0.9,31.0
0.1,no_ema,0.6542,0.3659,0.7518,0.5078,0.0049,24.4232,0.95,121.8
0.1,no_floor,2.2467,6.776,2.783,0.2073,0.0145,88.3399,0.95,31.0
0.3,beta_high,2.3388,3.5507,3.5293,0.2379,0.0099,120.0142,0.7,102.95
0.3,beta_low,3.5997,4.4054,2.5389,0.2697,0.0082,27.3308,0.5,25.55
0.3,full,3.9051,6.959,3.128,0.2427,0.0079,57.4448,0.6,75.35
0.3,no_ceiling,3.9051,6.959,3.1303,0.2426,0.0081,57.9934,0.6,75.35
0.3,no_ema,1.42,1.3651,1.0846,0.5165,0.0064,24.7504,0.65,100.65
0.3,no_floor,3.9051,6.959,3.128,0.2427,0.0079,57.4448,0.6,75.35
0.5,beta_high,4.5287,5.6791,3.3637,0.3274,0.0112,66.1226,0.45,142.3
0.5,beta_low,3.1385,2.9512,2.8092,0.3298,0.0123,26.9855,0.55,51.05
0.5,full,3.6204,3.4576,3.2465,0.328,0.011,39.3607,0.45,98.2
0.5,no_ceiling,3.6204,3.4576,3.2465,0.328,0.011,39.3607,0.45,98.2
0.5,no_ema,2.0467,1.6129,1.4848,0.5138,0.0057,25.0015,0.6,107.05
0.5,no_floor,3.6204,3.4576,3.2465,0.328,0.011,39.3607,0.45,98.2
