hallucination_rate,controller,final_vtrue,final_vhat,viol_rate,conv_steps,pearson
0.0,adam,0.0104,0.0003,0.4674,13.5,-0.047
0.0,adaptive,4.5126,1639.5843,0.4229,19.025,0.9273
0.0,cosine,0.01,0.0003,0.2347,529.75,0.0737
0.0,grad_clip,0.1796,0.0552,0.478,7.075,0.0422
0.0,no_damping,345812318004.3775,0.0,0.0139,1000.0,-0.408
0.1,adam,0.158,0.0162,0.4315,15.05,0.0992
0.1,adaptive,4.2157,679.5421,0.3036,18.875,0.8238
0.1,cosine,0.0695,0.0006,0.2019,530.85,0.0807
0.1,grad_clip,0.1848,0.0563,0.4961,7.5,0.1819
0.1,no_damping,345293243183.257,0.0,0.0137,1000.0,-0.4094
0.3,adam,0.1615,0.0372,0.4281,20.575,0.1039
0.3,adaptive,2.9108,68.5549,0.2916,22.3,0.757
0.3,cosine,0.0952,0.0015,0.1859,534.225,0.0796
0.3,grad_clip,0.3864,0.7878,0.5139,8.575,0.2827
0.3,no_damping,321973474534.8197,0.0,0.0136,1000.0,-0.4087
0.5,adam,0.2725,0.0426,0.4219,24.4,0.1286
0.5,adaptive,3.9905,65.9594,0.3462,23.525,0.6947
0.5,cosine,0.2204,0.0041,0.2008,539.525,0.0805
0.5,grad_clip,0.6597,1.5667,0.5144,10.15,0.3391
0.5,no_damping,340495960808.2492,0.0,0.0138,1000.0,-0.4075
