noise,controller,seed,viol_rate,pearson,final_V,auc_V,convergence,deadlock_rate,nonzero_frac
Gaussian,C3_EMA,0,0.3333333333333333,0.7918647310883095,0.6119535745296825,2.0196228276575,1,0.0,1.0
Gaussian,C3_EMA,1,0.33633633633633636,0.7106476262433677,0.4652525769121009,1.9808602892196285,1,0.0,1.0
Gaussian,C3_EMA,2,0.36036036036036034,0.8044706753658972,0.9523774454661561,1.9294088393508972,1,0.0,1.0
Gaussian,C3_EMA,3,0.34234234234234234,0.8306440006893672,0.0771020917203491,2.032906990083562,1,0.0,1.0
Gaussian,C3_EMA,4,0.34534534534534533,0.8284260470819356,0.35235719191975784,2.046502749955734,1,0.0,1.0
Gaussian,C3_EMA,5,0.34234234234234234,0.7852974402816315,0.5802255678870781,1.9339621908997005,1,0.0,1.0
Gaussian,C3_EMA,6,0.35535535535535534,0.808049295050484,1.6316383562095471,2.0801239176101087,1,0.0,1.0
Gaussian,C3_EMA,7,0.34134134134134136,0.7915353243531904,0.11455952748754722,2.009545098262115,1,0.0,1.0
Gaussian,C3_EMA,8,0.3483483483483483,0.810139572754766,0.8623117824111955,1.964956626086647,1,0.0,1.0
Gaussian,C3_EMA,9,0.3353353353353353,0.8151221554208776,1.0495527650809182,1.9656605162298801,1,0.0,1.0
Gaussian,C3_EMA,10,0.3663663663663664,0.7875697208445567,0.9877606046705454,2.1204182322683844,0,0.0,1.0
Gaussian,C3_EMA,11,0.33133133133133136,0.8268467307870885,0.17021117099455454,2.0628901661825703,1,0.001,0.999
Gaussian,C3_EMA,12,0.33233233233233234,0.8389025183706218,2.2605004397503725,2.0075239608199786,1,0.0,1.0
Gaussian,C3_EMA,13,0.33633633633633636,0.8269120117452796,0.30864733878036277,2.046832225352807,1,0.001,0.999
Gaussian,C3_EMA,14,0.33733733733733734,0.8661567108986902,0.6342384199505694,2.0319138032102977,1,0.0,1.0
Gaussian,C3_EMA,15,0.34534534534534533,0.7976297985254335,1.9235505253662768,1.9363186560727175,1,0.0,1.0
Gaussian,C3_EMA,16,0.35135135135135137,0.8200650083167244,0.07601501418570619,2.0566689595835297,1,0.0,1.0
Gaussian,C3_EMA,17,0.35235235235235235,0.8163387241301421,8.655929120493656,1.9839963797024622,0,0.0,1.0
Gaussian,C3_EMA,18,0.33133133133133136,0.7913981302009727,2.3434483250993985,1.994713205412457,1,0.0,1.0
Gaussian,C3_EMA,19,0.33633633633633636,0.8279306675002993,0.19557487494794365,2.000790398008141,1,0.0,1.0
Gaussian,C3_EMA,20,0.3483483483483483,0.8017950273878722,0.6622553656284453,2.0614207120501233,1,0.001,0.999
Gaussian,C3_EMA,21,0.34034034034034033,0.7827636644677699,0.1333483384035999,2.0084191981643653,1,0.0,1.0
Gaussian,C3_EMA,22,0.35235235235235235,0.8103327137729566,2.1489994293820676,1.9665992929736698,1,0.0,1.0
Gaussian,C3_EMA,23,0.3383383383383383,0.8359800663307222,1.8785065739332119,1.9965754195921241,1,0.0,1.0
Gaussian,C3_EMA,24,0.33933933933933935,0.8142008269954469,0.24068909456346768,2.137994024451296,1,0.0,1.0
Gaussian,C3_EMA,25,0.35235235235235235,0.7902029013142504,1.3793746677489502,2.007465218887154,0,0.0,1.0
Gaussian,C3_EMA,26,0.3533533533533533,0.7762983826165368,0.24866497255293474,1.9974140982271416,1,0.0,1.0
Gaussian,C3_EMA,27,0.33633633633633636,0.7674013327463652,0.6068240642175526,1.903608634402792,1,0.0,1.0
Gaussian,C3_EMA,28,0.34434434434434436,0.8617295487909581,0.22178375594646912,1.8991504520470022,1,0.0,1.0
Gaussian,C3_EMA,29,0.34934934934934936,0.8069725833795429,1.3448794099076369,2.036388379947097,1,0.0,1.0
