noise,controller,seed,deadlock_steps,deadlock_rate,nonzero_frac,convergence,final_V,V_0
Gaussian,C3_EMA,0,0,0.0,1.0,1,3.333098439134138,5.615449537507801
Gaussian,C3_EMA,1,1,0.001,0.999,1,2.2331193868205843,3.992432554045221
Gaussian,C3_EMA,2,0,0.0,1.0,0,15.34907189556548,3.376792436710328
Gaussian,C3_EMA,3,0,0.0,1.0,0,2.751286911350523,0.43292964556173985
Gaussian,C3_EMA,4,0,0.0,1.0,1,0.33195121599713656,2.279155175346927
Gaussian,C3_EMA,5,0,0.0,1.0,1,5.261515852740509,9.473026856588579
Gaussian,C3_EMA,6,1,0.001,0.999,1,0.5155124203541875,2.4370933368915346
Gaussian,C3_EMA,7,1,0.001,0.999,1,0.037933782097742244,3.2509840504102288
Gaussian,C3_EMA,8,0,0.0,1.0,1,0.27730924745043706,4.0370926135124465
Gaussian,C3_EMA,9,1,0.001,0.999,0,1.2671315454302916,0.9012130940925471
Gaussian,C3_EMA,10,0,0.0,1.0,1,0.3462365645765193,1.174298320100846
Gaussian,C3_EMA,11,3,0.003,0.997,0,5.1169596425598645,2.9082604763976487
Gaussian,C3_EMA,12,0,0.0,1.0,1,0.639268839731722,5.461421172875389
Gaussian,C3_EMA,13,0,0.0,1.0,1,0.08224134222284463,16.72177551582364
Gaussian,C3_EMA,14,0,0.0,1.0,1,0.6792851336894141,4.580910718752267
Gaussian,C3_EMA,15,0,0.0,1.0,1,2.5421196093058684,3.44050367146675
Gaussian,C3_EMA,16,0,0.0,1.0,1,3.326153251030589,6.138628336749356
Gaussian,C3_EMA,17,0,0.0,1.0,1,1.1243989197231217,8.523313447216008
Gaussian,C3_EMA,18,0,0.0,1.0,1,0.7209464976339998,3.9595004436701395
Gaussian,C3_EMA,19,0,0.0,1.0,1,1.8438301307285871,5.99650536172652
Gaussian,C3_EMA,20,0,0.0,1.0,1,0.4245327805176941,3.9836353579978248
Gaussian,C3_EMA,21,0,0.0,1.0,1,1.459528039572999,11.03266990009458
Gaussian,C3_EMA,22,0,0.0,1.0,1,0.36773114324758216,3.575592431881679
Gaussian,C3_EMA,23,0,0.0,1.0,1,1.2160476027357046,4.452439005630747
Gaussian,C3_EMA,24,0,0.0,1.0,1,0.5224338280311954,2.197088557169647
Gaussian,C3_EMA,25,1,0.001,0.999,1,0.15254130556580342,1.4290329493444343
Gaussian,C3_EMA,26,0,0.0,1.0,1,5.640159816877925,6.554781004765105
Gaussian,C3_EMA,27,1,0.001,0.999,1,0.19631265294951758,11.591007949935872
Gaussian,C3_EMA,28,0,0.0,1.0,1,0.30012532206719,2.892028062741624
Gaussian,C3_EMA,29,0,0.0,1.0,0,2.1449126704671135,0.34176369363477965
Gaussian,C3_EMA,30,1,0.001,0.999,0,12.220034113865644,4.861165321295563
Gaussian,C3_EMA,31,0,0.0,1.0,0,20.494419415392084,1.1639777670042344
Gaussian,C3_EMA,32,1,0.001,0.999,0,0.9016216190530333,0.2641281599019824
Gaussian,C3_EMA,33,0,0.0,1.0,1,0.14326135651316163,2.0148917757083806
Gaussian,C3_EMA,34,0,0.0,1.0,1,0.2903507635751878,4.693677381801871
Gaussian,C3_EMA,35,0,0.0,1.0,1,0.6434723451571711,10.406741024668426
Gaussian,C3_EMA,36,0,0.0,1.0,1,0.24826444687234242,1.069620382777322
Gaussian,C3_EMA,37,1,0.001,0.999,1,0.17159895490132415,1.4251745323881793
Gaussian,C3_EMA,38,0,0.0,1.0,1,0.08080165258562332,2.7293513936993006
Gaussian,C3_EMA,39,0,0.0,1.0,0,3.8970666764048767,1.757942510776713
Gaussian,C3_raw,0,0,0.0,1.0,1,1.4612435337510485,5.615449537507801
Gaussian,C3_raw,1,0,0.0,1.0,1,0.3392380267666705,3.992432554045221
Gaussian,C3_raw,2,0,0.0,1.0,0,3.4185873066980257,3.376792436710328
Gaussian,C3_raw,3,0,0.0,1.0,0,2.342191105884041,0.43292964556173985
Gaussian,C3_raw,4,0,0.0,1.0,1,0.2925268662042581,2.279155175346927
Gaussian,C3_raw,5,0,0.0,1.0,1,1.6621013916806038,9.473026856588579
Gaussian,C3_raw,6,0,0.0,1.0,1,1.4903044560031318,2.4370933368915346
Gaussian,C3_raw,7,0,0.0,1.0,1,0.3097285801784675,3.2509840504102288
Gaussian,C3_raw,8,0,0.0,1.0,1,0.26243686002698663,4.0370926135124465
Gaussian,C3_raw,9,0,0.0,1.0,0,1.2686368240234134,0.9012130940925471
Gaussian,C3_raw,10,0,0.0,1.0,1,0.268305820078278,1.174298320100846
Gaussian,C3_raw,11,0,0.0,1.0,1,1.8196645096533104,2.9082604763976487
Gaussian,C3_raw,12,0,0.0,1.0,1,0.433977964930581,5.461421172875389
