lr_base,h_rate,ablation,final_energy,mean_energy,regret,osc_index,c2_rej_rate,detection_delay,recovery_energy
0.1,0.0,C1+C3,1.3636,1.4489,862.7762,0.4728,0.0,50.0,1.4185
0.1,0.0,C1_only,0.2782,0.39,227.432,0.4832,0.0,45.5,0.2536
0.1,0.0,C2+C3,1.3743,1.4746,881.7031,0.1062,0.7619,50.0,1.2774
0.1,0.0,C2_only,0.2548,0.6833,406.92,0.098,0.7702,50.0,0.6056
0.1,0.0,C3_only,1.3636,1.4489,862.7762,0.4728,0.0,50.0,1.4185
0.1,0.0,full,1.3749,1.4719,880.1019,0.1061,0.7619,49.125,1.2804
0.1,0.0,none,0.2782,0.39,227.432,0.4832,0.0,50.0,0.2536
0.1,0.3,C1+C3,7.502,8.4577,5063.3245,0.2705,0.0,45.675,8.2112
0.1,0.3,C1_only,2.9885,3.346,1996.2636,0.3235,0.0,37.475,2.9227
0.1,0.3,C2+C3,6.0554,6.1377,3676.8526,0.0916,0.7501,50.0,5.4353
0.1,0.3,C2_only,3.2987,3.4131,2042.1025,0.0842,0.7801,50.0,3.1472
0.1,0.3,C3_only,7.5015,8.4596,5064.4618,0.2705,0.0,50.0,8.2112
0.1,0.3,full,6.1791,6.1396,3677.97,0.09,0.7497,30.4,5.5131
0.1,0.3,none,2.9885,3.346,1996.2636,0.3235,0.0,50.0,2.9227
0.1,0.5,C1+C3,14.7738,13.803,8278.5669,0.2645,0.0,48.725,13.298
0.1,0.5,C1_only,7.8604,6.7955,4074.0501,0.2659,0.0,42.225,6.6972
0.1,0.5,C2+C3,8.3116,10.8937,6530.0885,0.0804,0.7727,50.0,11.074
0.1,0.5,C2_only,7.3275,7.0693,4235.4259,0.0748,0.7879,50.0,5.7914
0.1,0.5,C3_only,14.7738,13.803,8278.5669,0.2645,0.0,50.0,13.298
0.1,0.5,full,8.3807,10.7767,6459.8819,0.0792,0.7733,26.95,11.2126
0.1,0.5,none,7.8604,6.7955,4074.0501,0.2659,0.0,50.0,6.6972
0.5,0.0,C1+C3,1.3636,1.4489,862.7762,0.4728,0.0,50.0,1.4185
0.5,0.0,C1_only,1.5866,1.6884,1006.4777,0.4752,0.0,50.0,1.7151
0.5,0.0,C2+C3,1.4735,1.5339,917.2721,0.104,0.7706,50.0,1.3905
0.5,0.0,C2_only,1.9327,1.7023,1018.3517,0.1016,0.7773,50.0,1.5815
0.5,0.0,C3_only,1.3636,1.4489,862.7762,0.4728,0.0,50.0,1.4185
0.5,0.0,full,1.4735,1.5313,915.7222,0.1043,0.7706,48.85,1.3828
0.5,0.0,none,1.5866,1.6884,1006.4777,0.4752,0.0,50.0,1.7151
0.5,0.3,C1+C3,7.502,8.4577,5063.3245,0.2705,0.0,45.675,8.2112
0.5,0.3,C1_only,14.775,20.2289,12126.0361,0.3511,0.0,46.55,20.4641
0.5,0.3,C2+C3,12.2177,11.4301,6852.2518,0.0825,0.7922,50.0,10.0718
0.5,0.3,C2_only,31.913,23.0521,13825.5006,0.0843,0.8338,50.0,19.5869
0.5,0.3,C3_only,7.5015,8.4596,5064.4618,0.2705,0.0,50.0,8.2112
0.5,0.3,full,12.3932,11.4762,6879.967,0.0808,0.792,41.775,10.0895
0.5,0.3,none,14.775,20.2289,12126.0361,0.3511,0.0,50.0,20.4641
0.5,0.5,C1+C3,14.7738,13.803,8278.5669,0.2645,0.0,48.725,13.298
0.5,0.5,C1_only,49.0178,42.0085,25201.8346,0.3703,0.0,50.0,43.2072
0.5,0.5,C2+C3,19.689,25.8277,15490.4908,0.0905,0.7356,50.0,25.3592
0.5,0.5,C2_only,34.6297,53.3133,31981.8483,0.0832,0.8076,50.0,55.3872
0.5,0.5,C3_only,14.7738,13.803,8278.5669,0.2645,0.0,50.0,13.298
0.5,0.5,full,20.276,25.7455,15441.1703,0.0919,0.7337,27.375,25.2403
0.5,0.5,none,49.0178,42.0085,25201.8346,0.3703,0.0,50.0,43.2072
