model,seed,ablation,instance_id,final_passed,safe_pass,first_pass_attempt,total_attempts,regression_count,oscillation_count,oscillation_index,updates_accepted,updates_rejected
claude-sonnet-4-20250514,42,none,astropy__astropy-12907,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,astropy__astropy-14182,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,astropy__astropy-14365,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,C2_calibrated,astropy__astropy-12907,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,C2_calibrated,astropy__astropy-14182,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,C2_calibrated,astropy__astropy-14365,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,full_calibrated,astropy__astropy-12907,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,full_calibrated,astropy__astropy-14182,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,full_calibrated,astropy__astropy-14365,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,astropy__astropy-14995,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,astropy__astropy-6938,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,astropy__astropy-7746,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-10914,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-10924,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11001,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11019,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11039,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11049,0,0,0,7,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11099,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11133,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11179,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11283,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11422,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11564,0,0,0,7,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11583,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11620,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11630,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11742,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11797,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11815,1,1,2,2,0,1,1.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11848,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11905,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11910,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11964,0,0,0,7,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-11999,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12113,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12125,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12184,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12284,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12286,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12308,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12453,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12470,1,1,4,4,0,1,0.3333,0,0
claude-sonnet-4-20250514,42,none,django__django-12497,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12589,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12700,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12708,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12747,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12856,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12908,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12915,1,1,1,1,0,0,0.0,0,0
claude-sonnet-4-20250514,42,none,django__django-12983,1,1,1,1,0,0,0.0,0,0
