regime,hallucination_rate,seed,spearman_rho,kendall_tau,final_V_true,final_V_hat
stationary,0.0,42,0.5076,0.3637,0.0375,0.0
stationary,0.0,43,0.5376,0.3893,0.0441,0.0
stationary,0.0,44,0.4945,0.3553,0.3303,0.0853
stationary,0.0,45,0.5326,0.3792,0.0198,0.0
stationary,0.0,46,0.5034,0.3622,0.0759,0.0021
stationary,0.0,47,0.4592,0.3296,0.023,0.0
stationary,0.0,48,0.519,0.373,0.2019,0.0081
stationary,0.0,49,0.5052,0.3599,0.0653,0.0024
stationary,0.0,50,0.5193,0.3725,0.258,0.0004
stationary,0.0,51,0.531,0.3743,0.1092,0.0019
stationary,0.0,52,0.4983,0.3519,0.0346,0.0
stationary,0.0,53,0.5061,0.3631,0.1664,0.0028
stationary,0.0,54,0.4659,0.3398,0.113,0.0044
stationary,0.0,55,0.4467,0.3274,0.2062,0.0125
stationary,0.0,56,0.491,0.3588,0.2861,0.0251
stationary,0.0,57,0.5125,0.368,0.3207,0.0291
stationary,0.0,58,0.4692,0.3372,0.1264,0.0051
stationary,0.0,59,0.4677,0.3408,0.2376,0.0183
stationary,0.0,60,0.464,0.3343,0.1025,0.0039
stationary,0.0,61,0.4876,0.3531,0.0105,0.0
stationary,0.0,62,0.4359,0.3149,0.1889,0.0025
stationary,0.0,63,0.4332,0.3168,0.2444,0.0577
stationary,0.0,64,0.4855,0.3489,0.0262,0.0004
stationary,0.0,65,0.4499,0.3271,0.0466,0.0
stationary,0.0,66,0.5521,0.3969,0.1777,0.0025
stationary,0.0,67,0.5079,0.3602,0.0311,0.0003
stationary,0.0,68,0.4538,0.3322,0.0353,0.0
stationary,0.0,69,0.4931,0.3614,0.0847,0.0
stationary,0.0,70,0.4922,0.356,0.3269,0.0067
stationary,0.0,71,0.4826,0.3406,0.0858,0.0001
stationary,0.0,72,0.5424,0.3942,0.2684,0.0285
stationary,0.0,73,0.4866,0.3505,0.0863,0.0
stationary,0.0,74,0.5369,0.3821,0.2283,0.0158
stationary,0.0,75,0.4844,0.3469,0.0889,0.0116
stationary,0.0,76,0.497,0.3566,0.1462,0.018
stationary,0.0,77,0.5065,0.3671,0.1535,0.0123
stationary,0.0,78,0.5276,0.3806,0.2078,0.0707
stationary,0.0,79,0.4814,0.3388,0.0949,0.0023
stationary,0.0,80,0.5094,0.3676,0.3321,0.0043
stationary,0.0,81,0.5208,0.3767,0.0786,0.0
stationary,0.0,82,0.4756,0.3474,0.1189,0.0038
stationary,0.0,83,0.5058,0.3634,0.2901,0.0059
stationary,0.0,84,0.4372,0.3211,0.1816,0.0312
stationary,0.0,85,0.4839,0.3521,0.0888,0.0011
stationary,0.0,86,0.4511,0.3244,0.2354,0.0419
stationary,0.0,87,0.5528,0.397,0.2457,0.0003
stationary,0.0,88,0.4835,0.3505,0.0937,0.0013
stationary,0.0,89,0.5185,0.3715,0.0774,0.0001
stationary,0.0,90,0.4955,0.3596,0.1775,0.0305
stationary,0.0,91,0.552,0.3976,0.0606,0.0
stationary,0.0,92,0.4066,0.3028,0.0933,0.001
stationary,0.0,93,0.4453,0.3188,0.0563,0.0003
stationary,0.0,94,0.4476,0.3187,0.0046,0.0
stationary,0.0,95,0.5293,0.3818,0.0557,0.0014
stationary,0.0,96,0.4613,0.3348,0.0586,0.0
stationary,0.0,97,0.5644,0.4114,0.1619,0.011
stationary,0.0,98,0.4536,0.326,0.1526,0.0012
stationary,0.0,99,0.533,0.382,0.0452,0.0
stationary,0.0,100,0.4927,0.3572,0.0829,0.0019
stationary,0.0,101,0.4693,0.3406,0.0548,0.0
stationary,0.0,102,0.4578,0.3328,0.0237,0.0005
stationary,0.0,103,0.4433,0.3186,0.461,0.061
stationary,0.0,104,0.5218,0.3713,0.0315,0.0001
stationary,0.0,105,0.4777,0.3489,0.0131,0.0
stationary,0.0,106,0.5157,0.3706,0.0254,0.0
stationary,0.0,107,0.517,0.3737,0.0623,0.0036
stationary,0.0,108,0.4396,0.3282,0.0584,0.0008
stationary,0.0,109,0.4806,0.3434,0.2971,0.0507
stationary,0.0,110,0.5299,0.3826,0.0809,0.0
stationary,0.0,111,0.5775,0.4126,0.0175,0.0
stationary,0.0,112,0.5069,0.3641,0.0553,0.0
stationary,0.0,113,0.4683,0.3349,0.0891,0.0008
stationary,0.0,114,0.4564,0.3268,0.143,0.0034
stationary,0.0,115,0.4822,0.352,0.067,0.0001
stationary,0.0,116,0.4867,0.3513,0.0448,0.0
stationary,0.0,117,0.5352,0.383,0.0988,0.0026
stationary,0.0,118,0.5,0.3563,0.0969,0.0016
stationary,0.0,119,0.4888,0.3538,0.009,0.0002
stationary,0.0,120,0.5008,0.3614,0.0442,0.0004
stationary,0.0,121,0.5396,0.3888,0.119,0.0008
stationary,0.0,122,0.4986,0.3613,0.0731,0.002
stationary,0.0,123,0.4713,0.3358,0.3246,0.1015
stationary,0.0,124,0.5039,0.3606,0.1214,0.0015
stationary,0.0,125,0.4492,0.3294,0.077,0.0007
stationary,0.0,126,0.4717,0.341,0.3637,0.0117
stationary,0.0,127,0.4303,0.3099,0.0856,0.0012
stationary,0.0,128,0.4802,0.3461,0.0914,0.0
stationary,0.0,129,0.4847,0.3455,0.0987,0.0001
stationary,0.0,130,0.5361,0.3889,0.2232,0.0204
stationary,0.0,131,0.4899,0.3496,0.0548,0.0
stationary,0.0,132,0.4829,0.348,0.0641,0.0004
stationary,0.0,133,0.4515,0.325,0.0338,0.0
stationary,0.0,134,0.5231,0.3759,0.346,0.0822
stationary,0.0,135,0.5555,0.3993,0.1415,0.0077
stationary,0.0,136,0.4995,0.3627,0.1994,0.0008
stationary,0.0,137,0.4829,0.3458,0.1471,0.0259
stationary,0.0,138,0.4434,0.3241,0.1903,0.0023
stationary,0.0,139,0.4923,0.3573,0.0599,0.0023
stationary,0.0,140,0.4856,0.3564,0.0188,0.0
stationary,0.0,141,0.4728,0.3387,0.2124,0.0011
stationary,0.0,142,0.4787,0.3443,0.0117,0.0002
stationary,0.0,143,0.5147,0.3715,0.1499,0.0141
stationary,0.0,144,0.5105,0.3658,0.5499,0.1056
stationary,0.0,145,0.473,0.3476,0.1294,0.0001
stationary,0.0,146,0.5118,0.3667,0.0513,0.0
stationary,0.0,147,0.4716,0.3389,0.0427,0.0
stationary,0.0,148,0.4833,0.3472,0.1452,0.0001
stationary,0.0,149,0.4793,0.3465,0.1212,0.0062
stationary,0.0,150,0.5809,0.4203,0.0386,0.0
stationary,0.0,151,0.4031,0.296,0.1495,0.0111
stationary,0.0,152,0.5301,0.386,0.0762,0.0003
stationary,0.0,153,0.4266,0.3054,0.0796,0.0
stationary,0.0,154,0.5402,0.3908,0.2177,0.0183
stationary,0.0,155,0.5213,0.3763,0.0433,0.0
stationary,0.0,156,0.5129,0.3675,0.1094,0.0
stationary,0.0,157,0.5145,0.3657,0.2701,0.0095
stationary,0.0,158,0.4419,0.322,0.0439,0.0014
stationary,0.0,159,0.5008,0.3626,0.0521,0.0005
stationary,0.0,160,0.4652,0.3374,0.0779,0.0062
stationary,0.0,161,0.4259,0.3161,0.1686,0.0014
stationary,0.0,162,0.531,0.3793,0.0256,0.0
stationary,0.0,163,0.5253,0.3769,0.0476,0.0
stationary,0.0,164,0.4391,0.3212,0.1755,0.0239
stationary,0.0,165,0.5041,0.3637,0.2213,0.009
stationary,0.0,166,0.4958,0.3616,0.138,0.0006
stationary,0.0,167,0.4974,0.3616,0.0915,0.0037
stationary,0.0,168,0.518,0.3718,0.1218,0.0002
stationary,0.0,169,0.463,0.3356,0.2215,0.0232
stationary,0.0,170,0.4861,0.3499,0.0856,0.0013
stationary,0.0,171,0.5012,0.3563,0.2645,0.0667
stationary,0.0,172,0.5262,0.3779,0.0962,0.0009
stationary,0.0,173,0.5333,0.3821,0.2052,0.0066
stationary,0.0,174,0.5087,0.3658,0.0851,0.0037
stationary,0.0,175,0.4857,0.3512,0.2003,0.0033
stationary,0.0,176,0.5173,0.3677,0.0211,0.0
stationary,0.0,177,0.4827,0.3522,0.0935,0.0007
stationary,0.0,178,0.5494,0.393,0.1544,0.0074
stationary,0.0,179,0.4993,0.3567,0.2379,0.0139
stationary,0.0,180,0.4883,0.3502,0.0679,0.0013
stationary,0.0,181,0.4834,0.3527,0.0618,0.0
stationary,0.0,182,0.4542,0.3251,0.0678,0.0
stationary,0.0,183,0.4658,0.3358,0.233,0.0011
stationary,0.0,184,0.5447,0.3924,0.0485,0.0016
stationary,0.0,185,0.4485,0.3244,0.0944,0.0019
stationary,0.0,186,0.5204,0.3731,0.136,0.0054
stationary,0.0,187,0.4501,0.3239,0.1375,0.0039
stationary,0.0,188,0.5039,0.3656,0.0768,0.0
stationary,0.0,189,0.5752,0.4193,0.2103,0.006
stationary,0.0,190,0.4936,0.3568,0.1812,0.0076
stationary,0.0,191,0.4561,0.3254,0.0514,0.0
stationary,0.0,192,0.5032,0.3583,0.099,0.0027
stationary,0.0,193,0.5259,0.376,0.2019,0.0082
stationary,0.0,194,0.4905,0.3503,0.2539,0.0641
stationary,0.0,195,0.5383,0.3864,0.0042,0.0
stationary,0.0,196,0.506,0.3632,0.1012,0.0051
stationary,0.0,197,0.5224,0.3768,0.0568,0.0007
stationary,0.0,198,0.5077,0.3699,0.2873,0.0027
stationary,0.0,199,0.4742,0.3418,0.256,0.0402
stationary,0.0,200,0.5302,0.3803,0.014,0.0
stationary,0.0,201,0.4663,0.3454,0.2055,0.0274
stationary,0.0,202,0.4574,0.3304,0.0293,0.0
stationary,0.0,203,0.4905,0.352,0.0713,0.0015
stationary,0.0,204,0.4493,0.324,0.2437,0.0742
stationary,0.0,205,0.4622,0.3335,0.037,0.0
stationary,0.0,206,0.4875,0.3519,0.0166,0.0
stationary,0.0,207,0.5167,0.3703,0.1056,0.0011
stationary,0.0,208,0.497,0.3613,0.5699,0.4241
stationary,0.0,209,0.5115,0.37,0.2227,0.0084
stationary,0.0,210,0.5122,0.37,0.3184,0.0291
stationary,0.0,211,0.4222,0.3053,0.019,0.0
stationary,0.0,212,0.4881,0.3517,0.0473,0.0
stationary,0.0,213,0.4973,0.3539,0.1082,0.0008
stationary,0.0,214,0.4563,0.3313,0.0225,0.0
stationary,0.0,215,0.5459,0.3914,0.1777,0.0247
stationary,0.0,216,0.4957,0.3614,0.0273,0.0
